name,type,start_p50,mid_p50,mid_p10,mid_p25,mid_p75,mid_p90,Ranked on Forbes
Massachusetts Institute of Technology (MIT),Engineering,more than national average,126000.0,76800.0,99200.0,168000.0,220000.0,True
California Institute of Technology (CIT),Engineering,more than national average,123000.0,44250.64935064935,104000.0,161000.0,157705.6277056277,False
Harvey Mudd College,Engineering,more than national average,122000.0,44250.64935064935,96000.0,180000.0,157705.6277056277,False
"Polytechnic University of New York, Brooklyn",Engineering,more than national average,114000.0,66800.0,94300.0,143000.0,190000.0,False
Cooper Union,Engineering,more than national average,114000.0,44250.64935064935,80200.0,142000.0,157705.6277056277,False
Worcester Polytechnic Institute (WPI),Engineering,more than national average,114000.0,80000.0,91200.0,137000.0,180000.0,False
Carnegie Mellon University (CMU),Engineering,more than national average,111000.0,63300.0,80100.0,150000.0,209000.0,False
Rensselaer Polytechnic Institute (RPI),Engineering,more than national average,110000.0,71600.0,85500.0,140000.0,182000.0,False
Georgia Institute of Technology,Engineering,more than national average,106000.0,67200.0,85200.0,137000.0,183000.0,False
Colorado School of Mines,Engineering,more than national average,106000.0,62200.0,87900.0,142000.0,201000.0,False
Stevens Institute of Technology,Engineering,more than national average,105000.0,68700.0,81900.0,138000.0,185000.0,False
Illinois Institute of Technology (IIT),Engineering,less than national average,97800.0,56100.0,77400.0,121000.0,165000.0,False
Wentworth Institute of Technology,Engineering,less than national average,96700.0,55200.0,74000.0,117000.0,153000.0,False
Virginia Polytechnic Institute and State University (Virginia Tech),Engineering,less than national average,95400.0,50600.0,71400.0,124000.0,163000.0,False
South Dakota School of Mines & Technology,Engineering,less than national average,93400.0,71500.0,81900.0,122000.0,147000.0,False
New Mexico Institute of Mining and Technology (New Mexico Tech),Engineering,less than national average,93400.0,44250.64935064935,67400.0,123000.0,157705.6277056277,False
Rochester Institute of Technology (RIT),Engineering,less than national average,84600.0,45000.0,62100.0,112000.0,159000.0,False
Embry-Riddle Aeronautical University (ERAU),Engineering,less than national average,80700.0,49800.0,64000.0,106000.0,142000.0,False
Tennessee Technological University,Engineering,less than national average,80000.0,42100.0,62600.0,99500.0,121000.0,False
University of Illinois at Urbana-Champaign (UIUC),Party,less than national average,96100.0,48200.0,68900.0,132000.0,177000.0,False
"University of Maryland, College Park",Party,less than national average,95000.0,50400.0,68300.0,126000.0,166000.0,False
